robot_id,model_type,installation_date,factory_location,operating_environment
ROB-0001,ARM-X7,2023-01-07,Nagoya Site,"Standard Factory (25-30°C, 60% RH)"
ROB-0002,ARM-X9,2023-02-05,Osaka Plant,"Clean Room (20-22°C, 40% RH)"
ROB-0003,ASSEMBLY-A3,2023-04-19,Osaka Plant,"Clean Room (20-22°C, 40% RH)"
ROB-0004,ARM-X7,2023-02-25,Tokyo Factory,"Clean Room (20-22°C, 40% RH)"
ROB-0005,ASSEMBLY-A3,2023-02-20,Hokkaido Lab,"Climate Controlled (22-25°C, 50% RH)"
ROB-0006,ARM-X9,2023-04-25,Hokkaido Lab,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0007,ARM-X7,2023-02-10,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0008,CONVEYOR-C2,2023-02-09,Tokyo Factory,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0009,ARM-X7,2023-01-24,Fukuoka Center,"Clean Room (20-22°C, 40% RH)"
ROB-0010,CONVEYOR-C2,2023-03-30,Hokkaido Lab,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0011,ARM-X7,2023-04-28,Hokkaido Lab,"Clean Room (20-22°C, 40% RH)"
ROB-0012,WELDING-W5,2023-01-21,Hokkaido Lab,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0013,ASSEMBLY-A3,2023-04-03,Hokkaido Lab,"Standard Factory (25-30°C, 60% RH)"
ROB-0014,ARM-X7,2023-01-12,Tokyo Factory,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0015,ARM-X7,2023-03-01,Osaka Plant,"Climate Controlled (22-25°C, 50% RH)"
ROB-0016,CONVEYOR-C2,2023-04-27,Nagoya Site,"Standard Factory (25-30°C, 60% RH)"
ROB-0017,CONVEYOR-C2,2023-04-01,Tokyo Factory,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0018,ARM-X7,2023-06-05,Tokyo Factory,"Standard Factory (25-30°C, 60% RH)"
ROB-0019,ARM-X9,2023-04-29,Fukuoka Center,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0020,ASSEMBLY-A3,2023-02-26,Nagoya Site,"Clean Room (20-22°C, 40% RH)"
ROB-0021,ARM-X9,2023-01-09,Nagoya Site,"Climate Controlled (22-25°C, 50% RH)"
ROB-0022,CONVEYOR-C2,2023-01-17,Tokyo Factory,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0023,ARM-X9,2023-06-17,Fukuoka Center,"Climate Controlled (22-25°C, 50% RH)"
ROB-0024,WELDING-W5,2023-02-06,Nagoya Site,"Standard Factory (25-30°C, 60% RH)"
ROB-0025,ARM-X9,2023-05-24,Hokkaido Lab,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0026,ASSEMBLY-A3,2023-04-20,Hokkaido Lab,"Climate Controlled (22-25°C, 50% RH)"
ROB-0027,CONVEYOR-C2,2023-02-26,Tokyo Factory,"Climate Controlled (22-25°C, 50% RH)"
ROB-0028,ARM-X7,2023-01-13,Osaka Plant,"Standard Factory (25-30°C, 60% RH)"
ROB-0029,ARM-X9,2023-06-24,Fukuoka Center,"Clean Room (20-22°C, 40% RH)"
ROB-0030,WELDING-W5,2023-04-08,Hokkaido Lab,"Climate Controlled (22-25°C, 50% RH)"
ROB-0031,ASSEMBLY-A3,2023-03-06,Hokkaido Lab,"Clean Room (20-22°C, 40% RH)"
ROB-0032,ARM-X7,2023-06-24,Hokkaido Lab,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0033,CONVEYOR-C2,2023-01-29,Nagoya Site,"Climate Controlled (22-25°C, 50% RH)"
ROB-0034,ARM-X9,2023-04-27,Osaka Plant,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0035,ASSEMBLY-A3,2023-02-15,Hokkaido Lab,"Clean Room (20-22°C, 40% RH)"
ROB-0036,CONVEYOR-C2,2023-06-13,Hokkaido Lab,"Standard Factory (25-30°C, 60% RH)"
ROB-0037,ARM-X9,2023-04-06,Tokyo Factory,"Clean Room (20-22°C, 40% RH)"
ROB-0038,ASSEMBLY-A3,2023-03-24,Fukuoka Center,"Clean Room (20-22°C, 40% RH)"
ROB-0039,ARM-X7,2023-04-03,Nagoya Site,"Standard Factory (25-30°C, 60% RH)"
ROB-0040,ARM-X7,2023-03-03,Hokkaido Lab,"Clean Room (20-22°C, 40% RH)"
ROB-0041,ARM-X7,2023-05-05,Osaka Plant,"Standard Factory (25-30°C, 60% RH)"
ROB-0042,ARM-X9,2023-06-18,Fukuoka Center,"Standard Factory (25-30°C, 60% RH)"
ROB-0043,CONVEYOR-C2,2023-05-16,Hokkaido Lab,"Climate Controlled (22-25°C, 50% RH)"
ROB-0044,ARM-X9,2023-05-19,Tokyo Factory,"Heavy Industrial (30-40°C, 70% RH)"
ROB-0045,WELDING-W5,2023-06-21,Nagoya Site,"Climate Controlled (22-25°C, 50% RH)"
ROB-0046,ASSEMBLY-A3,2023-04-26,Osaka Plant,"Standard Factory (25-30°C, 60% RH)"
ROB-0047,ARM-X9,2023-01-17,Nagoya Site,"Clean Room (20-22°C, 40% RH)"
ROB-0048,ASSEMBLY-A3,2023-05-22,Tokyo Factory,"Standard Factory (25-30°C, 60% RH)"
ROB-0049,ARM-X7,2023-01-19,Osaka Plant,"Standard Factory (25-30°C, 60% RH)"
ROB-0050,ARM-X7,2023-01-09,Nagoya Site,"Clean Room (20-22°C, 40% RH)"
